ER,Frequency,Country full,Ctry,Location,DOC,CoordLat,NS,CoordLong,WE,Cat,Stat,Remarks,ChDate,DR,Key,PolyID,FIR name,ChBy,Service
,118.8,Brazil,B,ALCÂNTARA,TWR 25/40,"02D22'18""",S,"044D23'27""",W,ICAO,,,2017-05-21 14:56:45,E,704921,,,RWitzen,TWR
,130.35,Brazil,B,ALEGRETE,AOC U 100/100,"29D48'45""",S,"055D53'32""",W,ICAO,,,2017-05-21 14:56:45,E,703345,,,RWitzen,AOC
,126.6,Brazil,B,ALTA FLORESTA,TWR 25/40,"09D51'59""",S,"056D06'18""",W,ICAO,,,2017-05-21 14:56:45,E,703291,,,RWitzen,ACC-U
ER-BRA-202,131.875,Brazil,B,ALTA FLORESTA,AOC U 100/100,"09D51'59""",S,"056D06'18""",W,ICAO,,,2017-05-21 14:56:45,E,704133,,,RWitzen,AOC
,119.6,Brazil,B,ALTA FLORESTA,APP-U C-150/450,"09D51'59""",S,"056D06'18""",W,ICAO,,,2017-05-21 14:56:45,E,704494,,,RWitzen,APP
ER-BRA-168,130.2,Brazil,B,ALTAMIRA,AOC U 100/100,"03D15'07""",S,"052D14'46""",W,ICAO,,,2017-05-21 14:56:45,E,703615,,,RWitzen,AOC
ER-BRA-174,130.3,Brazil,B,ALTAMIRA,AOC U 100/100,"03D15'07""",S,"052D14'46""",W,ICAO,,,2017-05-21 14:56:45,E,703662,,,RWitzen,AOC
ER-BRA-202,131.875,Brazil,B,ALTAMIRA,AOC U 100/100,"03D15'07""",S,"052D14'46""",W,ICAO,,,2017-05-21 14:56:45,E,704134,,,RWitzen,AOC
ER-BRA-57,121.5,Brazil,B,ALTAMIRA,EMERG 261/450,"03D15'07""",S,"052D14'46""",W,ICAO,,,2017-05-21 14:56:45,E,704738,,,RWitzen,EMERG
,125.85,Brazil,B,ALTAMIRA,TWR 25/40,"03D15'07""",S,"052D14'46""",W,ICAO,,,2017-05-21 14:56:45,E,704957,,,RWitzen,TWR
ER-BRA-235,132.1,Brazil,B,ALTAMIRA,VOLMET B-260/450,"03D15'07""",S,"052D14'46""",W,ICAO,,,2017-05-21 14:56:45,E,705046,,,RWitzen,VOLMET
ER-BRA-111,123.9,Brazil,B,ALTAMIRA,ACC-U C-261/450,03D15'09'',S,052D14'48'',W,ICAO,,"OFF-SET CARRIER  -2,5",2019-12-15 16:10:21,E,702937,,,Robert,ACC-U
ER-BRA-92,123.65,Brazil,B,ALTAMIRA,ACC-U C-261/450,03D15'09'',S,052D14'48'',W,ICAO,,"OFF-SET CARRIER  -7,3 ",2017-05-21 14:56:45,E,702982,99110.0,FIR AMAZONICA,RWitzen,ACC-U
ER-BRA-94,123.95,Brazil,B,ALTAMIRA,ACC-U C-261/450,03D15'09'',S,052D14'48'',W,ICAO,,"OFF-SET CARRIER  -2,5",2017-05-21 14:56:45,E,702989,99110.0,FIR AMAZONICA,RWitzen,ACC-U
ER-BRA-29,135.0,Brazil,B,ALTO PARAISO,ACC-U C-261/450,13D57'26'',S,047D27'22'',W,ICAO,,"OFF SET CARRIER  -7,3",2017-05-21 14:56:45,E,703065,99146.0,FIR BRASILIA,RWitzen,ACC-U
ER-BRA-7,124.5,Brazil,B,ALTO PARAISO,ACC-U C-261/450,13D57'26'',S,047D27'22'',W,ICAO,,"OFF SET CARRIER  -7,3",2017-05-21 14:56:45,E,703086,99146.0,FIR BRASILIA,RWitzen,ACC-U
ER-BRA-57,121.5,Brazil,B,ALTO PARAÍSO,EMERG 261/450,"14D17'57""",S,"047D30'36""",W,ICAO,,,2017-05-21 14:56:45,E,704739,,,RWitzen,EMERG
ER-BRA-230,132.25,Brazil,B,ALTO PARAÍSO,VOLMET B-260/450,"14D17'57""",S,"047D30'36""",W,ICAO,,,2017-05-21 14:56:45,E,705022,,,RWitzen,VOLMET
,125.7,Brazil,B,AMAPÁ,TWR 25/40,"02D04'02""",N,"050D51'05""",W,ICAO,,,2017-05-21 14:56:45,E,704948,,,RWitzen,TWR
,119.15,Brazil,B,ANÁPOLIS,APP-U C-150/450,"16D08'26""",S,"048D34'37""",W,ICAO,,,2017-05-21 14:56:45,E,704459,,,RWitzen,APP
,119.95,Brazil,B,ANÁPOLIS,APP-U C-150/450,"16D08'26""",S,"048D34'37""",W,ICAO,,,2017-05-21 14:56:45,E,704515,,,RWitzen,APP
,120.55,Brazil,B,ANÁPOLIS,APP-U C-150/450,"16D08'26""",S,"048D34'37""",W,ICAO,,,2017-05-21 14:56:45,E,704545,,,RWitzen,APP
,121.25,Brazil,B,ANÁPOLIS,APP-U C-150/450,"16D08'26""",S,"048D34'37""",W,ICAO,,,2017-05-21 14:56:45,E,704586,,,RWitzen,APP
,122.95,Brazil,B,ANÁPOLIS,APP-U C-150/450,"16D08'26""",S,"048D34'37""",W,ICAO,,,2017-05-21 14:56:45,E,704590,,,RWitzen,APP
