Country,Ctry,Location,Facility,Frequency,VHFDOC,VHFpwr,TRD Copy,DMEDOC,DMEPwr,Latitude,NS,Longitude,WE,Cat,Remarks,Key,DR,MOD,Ch_date2
BRAZIL,B,ALTA FLORESTA,VOR/DME,113.4,200/450,30,,200/450,30,"09D52'00""",S,"056D06'00""",W,ICAO,,940153,R,,2019-12-15
BRAZIL,B,ALTAMIRA,VOR/DME,113.2,200/450,30,,200/450,30,"03D15'00""",S,"052D15'00""",W,NAT,,940154,R,,2019-12-15
BRAZIL,B,AMAZONICA,VOR/DME,117.5,200/450,30,,200/450,30,"04D11'00""",S,"069D56'00""",W,NAT,,940155,R,,2019-12-15
BRAZIL,B,ANAPOLIS,VOR/DME,115.4,200/450,30,,200/450,30,"16D15'00""",S,"049D00'00""",W,ICAO,,940156,R,,2019-12-15
BRAZIL,B,ARACAJU STA. MARIA,VOR/DME,112.0,200/450,30,,200/450,30,"10D59'00""",S,"037D04'00""",W,ICAO,,940157,R,,2019-12-15
BRAZIL,B,ARAXA,VOR,117.0,200/450,30,,,0,"19D41'00""",S,"047D04'00""",W,NAT,,940158,R,,2019-12-15
BRAZIL,B,BAGE,VOR,115.3,200/450,30,,,0,"31D23'00""",S,"054D07'00""",W,ICAO,,940159,R,,2019-12-15
BRAZIL,B,BARRA DO GARCAS,VOR/DME,113.3,200/450,30,,200/450,30,"15D51'00""",S,"052D23'00""",W,NAT,,940160,R,,2019-12-15
BRAZIL,B,BARRA DO PIRAI,VOR/DME,115.0,200/450,30,,200/450,30,"22D27'00""",S,"043D51'00""",W,ICAO,RIO DE JANEIRO/TMA,940161,R,,2019-12-15
BRAZIL,B,BARREIRAS,VOR/DME,114.3,200/450,30,,200/450,30,"12D05'00""",S,"045D00'00""",W,ICAO,DME/NAT PROYECTADO,940162,R,,2019-12-15
BRAZIL,B,BAURU,VOR/DME,112.2,200/450,30,,200/450,30,"22D21'00""",S,"049D03'00""",W,ICAO,RECOMENDADO,940163,R,,2019-12-15
BRAZIL,B,BELEM VAL DE CAES,ILS/DME,109.3,25/62.5,17,,25/100,17,"01D22'00""",S,"048D28'00""",W,ICAO,,940164,R,,2019-12-15
BRAZIL,B,BELEM VAL DE CAES,VOR/DME,117.3,200/450,30,,200/450,30,"01D23'00""",S,"048D29'00""",W,ICAO,,940165,R,,2019-12-15
BRAZIL,B,BELO HORIZONTE PAMPULHA,VOR/DME,117.7,200/450,30,,200/450,30,"19D50'00""",S,"044D00'00""",W,NAT,,940166,R,,2019-12-15
BRAZIL,B,BELO HORIZONTE TANCREDO NEVES,ILS,109.7,25/62.5,17,,,0,"19D39'00""",S,"043D57'00""",W,ICAO,,940167,R,,2019-12-15
BRAZIL,B,BELO HORIZONTE TANCREDO NEVES,VOR/DME,114.4,200/450,30,,200/450,30,"19D33'00""",S,"044D03'00""",W,ICAO,,940168,R,,2019-12-15
BRAZIL,B,BOA VISTA INTL.,VOR/DME,113.1,200/450,30,,200/450,30,"02D51'00""",N,"060D41'00""",W,ICAO,,940169,R,,2019-12-15
BRAZIL,B,BOM JESUS DA LAPA,VOR/DME,113.7,200/450,30,,200/450,30,"13D16'00""",S,"043D25'00""",W,ICAO,DME-NAT,940170,R,,2019-12-15
BRAZIL,B,BRAGANCA,VOR/DME,116.2,200/450,30,,200/450,30,"22D57'00""",S,"046D34'00""",W,ICAO,SAO PAULO/TMA,940171,R,,2019-12-15
BRAZIL,B,BRASILIA INTL.,ILS,110.3,25/62.5,17,,,0,"15D52'00""",S,"047D54'00""",W,ICAO,,940172,R,,2019-12-15
BRAZIL,B,BRASILIA INTL.,ILS/DME,109.3,25/62.5,17,,25/100,17,"15D52'00""",S,"047D56'00""",W,NAT,,940173,R,,2019-12-15
BRAZIL,B,BRASILIA INTL.,VOR/DME,115.9,200/450,30,,200/450,30,"15D52'00""",S,"048D01'00""",W,ICAO,,940174,R,,2019-12-15
BRAZIL,B,CACHIMBO ITAITUBA,VOR/DME,115.1,200/450,30,,200/450,30,"09D20'00""",S,"054D58'00""",W,NAT,,940175,R,,2019-12-15
BRAZIL,B,"CAMPINAS VIRACOPOS, SP",ILS,110.3,25/62.5,17,,,0,"23D01'00""",S,"047D07'00""",W,ICAO,,940176,R,,2019-12-15
BRAZIL,B,"CAMPINAS VIRACOPOS, SP",VOR/DME,112.0,200/450,30,,200/450,30,"23D00'00""",S,"047D08'00""",W,ICAO,,940177,R,,2019-12-15
BRAZIL,B,CAMPO GRANDE INTL.,ILS,110.3,25/62.5,17,,,0,"20D28'00""",S,"054D40'00""",W,ICAO,,940178,R,,2019-12-15
BRAZIL,B,CAMPO GRANDE INTL.,VOR/DME,115.7,200/450,30,,200/450,30,"20D28'00""",S,"054D40'00""",W,ICAO,,940179,R,,2019-12-15
BRAZIL,B,CARAJAS PARAUAPEBAS,VOR/DME,112.4,200/450,30,,200/450,30,"06D07'00""",S,"050D00'00""",W,NAT,,940180,R,,2019-12-15
BRAZIL,B,CARAVELAS,VOR,116.0,200/450,30,,,0,"17D39'00""",S,"039D15'00""",W,ICAO,,940181,R,,2019-12-15
BRAZIL,B,CAROLINA,VOR,115.3,200/450,30,,,0,"07D19'00""",S,"047D27'00""",W,ICAO,,940182,R,,2019-12-15
BRAZIL,B,CORUMBA,VOR/DME,116.5,200/450,30,,200/450,30,"19D01'00""",S,"057D40'00""",W,ICAO,RECOMENDADO,940183,R,,2019-12-15
BRAZIL,B,CRUZEIRO DO SUL INTL.,VOR/DME,112.0,200/450,30,,200/450,30,"07D36'00""",S,"072D46'00""",W,ICAO,,940184,R,,2019-12-15
BRAZIL,B,CUIABA,VOR/DME,113.7,200/450,30,,200/450,30,"15D39'00""",S,"056D07'00""",W,ICAO,,940185,R,,2019-12-15
BRAZIL,B,CURITIBA AFONSO PEÑA,ILS,109.3,25/62.5,17,,,0,"25D32'00""",S,"049D10'00""",W,NAT,,940186,R,,2019-12-15
BRAZIL,B,CURITIBA AFONSO PEÑA,VOR/DME,116.5,200/450,30,,200/450,30,"25D32'00""",S,"049D10'00""",W,ICAO,,940187,R,,2019-12-15
BRAZIL,B,FERNANDO DE NORONHA,VOR/DME,113.5,200/450,30,,200/450,30,"03D52'00""",S,"032D27'00""",W,ICAO,,940188,R,,2019-12-15
BRAZIL,B,FLORIANOPOLIS HERCILIO LUZ,ILS,110.3,25/62.5,17,,,0,"27D41'00""",S,"048D32'00""",W,NAT,,940189,R,,2019-12-15
BRAZIL,B,FLORIANOPOLIS HERCILIO LUZ,VOR/DME,115.5,200/450,30,,200/450,30,"27D41'00""",S,"048D30'00""",W,ICAO,,940190,R,,2019-12-15
BRAZIL,B,FORMOSA,VOR/DME,114.1,200/450,30,,200/450,30,"15D37'00""",S,"047D20'00""",W,NAT,PROYECTADO,940191,R,,2019-12-15
BRAZIL,B,FORTALEZA PINTO MARTINS,VOR/DME,114.1,200/450,30,,200/450,30,"03D46'00""",S,"038D32'00""",W,ICAO,,940192,R,,2019-12-15
BRAZIL,B,FOZ DO IGUACU CATARATAS,ILS,109.1,25/62.5,17,,,0,"25D36'00""",S,"054D28'00""",W,ICAO,,940193,R,,2019-12-15
BRAZIL,B,FOZ DO IGUACU CATARATAS,VOR/DME,112.1,200/450,30,,200/450,30,"25D35'00""",S,"054D30'00""",W,ICAO,,940194,R,,2019-12-15
BRAZIL,B,FOZ TMA,VOR,114.1,200/450,30,,,0,"25D44'00""",S,"054D29'00""",W,NAT,,940195,R,,2019-12-15
BRAZIL,B,GOIANIA STA. GENOVEVA,VOR/DME,112.7,200/450,30,,200/450,30,"16D38'00""",S,"049D13'00""",W,ICAO,,940196,R,,2019-12-15
BRAZIL,B,ILHEUS,VOR/DME,112.2,200/450,30,,200/450,30,"14D48'00""",S,"039D01'00""",W,ICAO,RECOMENDADO,940197,R,,2019-12-15
BRAZIL,B,IMPERATRIZ,VOR/DME,112.7,200/450,30,,200/450,30,"05D31'00""",S,"047D27'00""",W,ICAO,,940198,R,,2019-12-15
BRAZIL,B,ITAPARICA,VOR,112.3,200/450,30,,,0,"12D54'00""",S,"038D24'00""",W,NAT,PROYECTADO,940199,R,,2019-12-15
BRAZIL,B,JACAREACANGA,VOR/DME,112.2,200/450,30,,200/450,30,"06D14'00""",S,"057D46'00""",W,ICAO,,940200,R,,2019-12-15
BRAZIL,B,JOINVILLE,VOR/DME,115.1,200/450,30,,200/450,30,"26D22'00""",S,"048D43'00""",W,NAT,,940201,R,,2019-12-15
BRAZIL,B,JUIZ DE FORA,ILS/DME,109.1,25/62.5,17,,25/100,17,"21D47'00""",S,"043D23'00""",W,NAT,PROYECTADO,940202,R,,2019-12-15
BRAZIL,B,LONDRINA,VOR/DME,112.4,200/250,30,,200/250,30,"23D20'00""",S,"051D07'00""",W,ICAO,,940203,R,,2019-12-15
BRAZIL,B,MACAE,VOR/DME,112.7,200/450,30,,200/450,30,"22D21'00""",S,"041D46'00""",W,ICAO,,940204,R,,2019-12-15
BRAZIL,B,MACAPA INTL.,VOR/DME,112.0,200/250,30,,200/250,30,"00D03'00""",S,"051D04'00""",W,ICAO,,940205,R,,2019-12-15
