Channel,VOR_ILSloc,ILSglide,DMEairbone,DMEground
1X,,,1025.0,962
1Y,,,1025.0,1088
2X,,,1026.0,963
2Y,,,1026.0,1089
3X,,,1027.0,964
3Y,,,1027.0,1090
4X,,,1028.0,965
4Y,,,1028.0,1091
5X,,,1029.0,966
5Y,,,1029.0,1092
6X,,,1030.0,967
6Y,,,1030.0,1093
7X,,,1031.0,968
7Y,,,1031.0,1094
8X,,,1032.0,969
8Y,,,1032.0,1095
9X,,,1033.0,970
9Y,,,1033.0,1096
10X,,,1034.0,971
10Y,,,1034.0,1097
11X,,,1035.0,972
11Y,,,1035.0,1098
12X,,,1036.0,973
12Y,,,1036.0,1099
13X,,,1037.0,974
13Y,,,1037.0,1100
14X,,,1038.0,975
14Y,,,1038.0,1101
15X,,,1039.0,976
15Y,,,1039.0,1102
16X,,,1040.0,977
16Y,,,1040.0,1103
17X,108.0,,1041.0,978
17Y,108.05,,1041.0,1104
17Z,,,1041.0,1104
18X,108.1,334.7,1042.0,979
18Y,108.15,334.55,1042.0,1105
18W,,,1042.0,979
18Z,,,1042.0,1105
19X,108.2,,1043.0,980
19Y,108.25,,1043.0,1106
19Z,,,1043.0,1106
20X,108.3,334.1,1044.0,981
20Y,108.35,333.95,1044.0,1107
20W,,,1044.0,981
20Z,,,1044.0,1107
21X,108.4,,1045.0,982
21Y,108.45,,1045.0,1108
21Z,,,1045.0,1108
22X,108.5,329.9,1046.0,983
22Y,108.55,329.75,1046.0,1109
22W,,,1046.0,983
22Z,,,1046.0,1109
23X,108.6,,1047.0,984
23Y,108.65,,1047.0,1110
23Z,,,1047.0,1110
24X,108.7,330.5,1048.0,985
24Y,108.75,330.35,1048.0,1111
24W,,,1048.0,985
24Z,,,1048.0,1111
25X,108.8,,1049.0,986
25Y,108.85,,1049.0,1112
25Z,,,1049.0,1112
26X,108.9,329.3,1050.0,987
26Y,108.95,329.15,1050.0,1113
26W,,,1050.0,987
26Z,,,1050.0,1113
27X,109.0,,1051.0,988
27Y,109.05,,1051.0,1114
28Y,109.15,331.25,1051.0,1115
27Z,,,1051.0,1114
28X,109.1,311.4,1052.0,989
28W,,,1052.0,989
28Z,,,1052.0,1115
29X,109.2,,1053.0,990
29Y,109.25,,1053.0,1116
29Z,,,1053.0,1116
30X,109.3,332.0,1054.0,991
30Y,109.35,331.85,1054.0,1117
30W,,,1054.0,991
30Z,,,1054.0,1117
31X,109.4,,1055.0,992
31Y,109.45,,1055.0,1118
31Z,,,1055.0,1118
32X,109.5,332.6,1056.0,993
32Y,109.55,332.45,1056.0,1119
32W,,,1056.0,993
32Z,,,1056.0,1119
33X,109.6,,1057.0,994
33Y,109.65,,1057.0,1120
33Z,,,1057.0,1120
34X,109.7,333.2,1058.0,995
34Y,109.75,333.05,1058.0,1121
34W,,,1058.0,995
34Z,,,1058.0,1121
35X,109.8,,1059.0,996
35Y,109.85,,1059.0,1122
35Z,,,1059.0,1122
36X,109.9,333.8,1060.0,997
36Y,109.95,333.65,1060.0,1123
36W,,,1060.0,997
36Z,,,1060.0,1123
37X,110.0,,1061.0,998
37Y,110.05,,1061.0,1124
37Z,,,1061.0,1124
38X,110.1,334.4,1062.0,999
38Y,110.15,334.25,1062.0,1125
38W,,,1062.0,999
38Z,,,1062.0,1125
39X,110.2,,1063.0,1000
39Y,110.25,,1063.0,1126
39Z,,,1063.0,1126
40X,110.3,335.0,1064.0,1001
40Y,110.35,334.85,1064.0,1127
40W,,,1064.0,1001
40Z,,,1064.0,1127
41X,110.4,,1065.0,1002
41Y,110.45,,1065.0,1128
41Z,,,1065.0,1128
42X,110.5,329.6,1066.0,1003
42Y,110.55,329.45,1066.0,1129
42W,,,1066.0,1003
42Z,,,1066.0,1129
43X,110.6,,1067.0,1004
43Y,110.65,,1067.0,1130
43Z,,,1067.0,1130
44X,110.7,330.2,1068.0,1005
44Y,110.75,330.05,1068.0,1131
44W,,,1068.0,1005
44Z,,,1068.0,1131
45X,110.8,,1069.0,1006
45Y,110.85,,1069.0,1132
45Z,,,1069.0,1132
46X,110.9,330.8,1070.0,1007
46Y,110.95,330.65,1070.0,1133
46W,,,1070.0,1007
46Z,,,1070.0,1133
47X,111.0,,1071.0,1008
47Y,111.05,,1071.0,1134
47Z,,,1071.0,1134
48X,111.1,331.7,1072.0,1009
48Y,111.15,331.55,1072.0,1135
48W,,,1072.0,1009
48Z,,,1072.0,1135
49X,111.2,,1073.0,1010
49Y,111.25,,1073.0,1136
49Z,,,1073.0,1136
50X,111.3,332.3,1074.0,1011
50Y,111.35,332.15,1074.0,1137
50W,,,1074.0,1011
50Z,,,1074.0,1137
51X,111.4,,1075.0,1012
51Y,111.45,,1075.0,1138
51Z,,,1075.0,1138
52X,111.5,332.9,1076.0,1013
52Y,111.55,332.75,1076.0,1139
52W,,,1076.0,1013
52Z,,,1076.0,1139
53X,111.6,,1077.0,1014
53Y,111.65,,1077.0,1140
53Z,,,1077.0,1140
54X,111.7,333.5,1078.0,1015
54Y,111.75,333.35,1078.0,1141
54W,,,1078.0,1015
54Z,,,1078.0,1141
55X,111.8,,1079.0,1016
55Y,111.85,,1079.0,1142
55Z,,,1079.0,1142
56X,111.9,331.1,1080.0,1017
56Y,111.95,330.95,1080.0,1143
56W,,,1080.0,1017
56Z,,,1080.0,1143
57X,112.0,,1081.0,1018
57Y,112.05,,1081.0,1144
58X,112.1,,1082.0,1019
58Y,112.15,,1082.0,1145
59X,112.2,,1083.0,1020
59Y,112.25,,1083.0,1146
60X,,,1084.0,1021
60Y,,,1084.0,1147
61X,,,1085.0,1022
61Y,,,1085.0,1148
62X,,,1086.0,1023
62Y,,,1086.0,1149
63X,,,1087.0,1024
63Y,,,1087.0,1150
64X,,,1088.0,1151
64Y,,,1088.0,1025
65X,,,1089.0,1152
65Y,,,1089.0,1026
66X,,,1090.0,1153
66Y,,,1090.0,1027
67X,,,1091.0,1154
67Y,,,1091.0,1028
68X,,,1092.0,1155
68Y,,,1092.0,1029
69X,,,1093.0,1156
69Y,,,1093.0,1030
70X,112.3,,1094.0,1157
70Y,112.35,,1094.0,1031
71X,112.4,,1095.0,1158
71Y,112.45,,1095.0,1032
72X,112.5,,1096.0,1159
72Y,112.55,,1096.0,1033
73X,112.6,,1097.0,1160
73Y,112.65,,1097.0,1034
74X,112.7,,1098.0,1161
74Y,112.75,,1098.0,1035
75X,112.8,,1099.0,1162
75Y,112.85,,1099.0,1036
76X,112.9,,1100.0,1163
76Y,112.95,,1100.0,1037
77X,113.0,,1101.0,1164
77Y,113.05,,1101.0,1038
78X,113.1,,1102.0,1165
78Y,113.15,,1102.0,1039
79X,113.2,,1103.0,1166
79Y,113.25,,1103.0,1040
80X,113.3,,1104.0,1167
80Y,113.35,,1104.0,1041
80Z,,,1104.0,1041
81X,113.4,,1105.0,1168
81Y,113.45,,1105.0,1042
81Z,,,1105.0,1042
82X,113.5,,1106.0,1169
82Y,113.55,,1106.0,1043
82Z,,,1106.0,1043
83X,113.6,,1107.0,1170
83Y,113.65,,1107.0,1044
83Z,,,1107.0,1044
84X,113.7,,1108.0,1171
84Y,113.75,,1108.0,1045
84Z,,,1108.0,1045
85X,113.8,,1109.0,1172
85Y,113.85,,1109.0,1046
85Z,,,1109.0,1046
86X,113.9,,1110.0,1173
86Y,113.95,,1110.0,1047
86Z,,,1110.0,1047
87X,114.0,,1111.0,1174
87Y,114.05,,1111.0,1048
87Z,,,1111.0,1048
88X,114.1,,1112.0,1175
88Y,114.15,,1112.0,1049
88Z,,,1112.0,1049
89X,114.2,,1113.0,1176
89Y,114.25,,1113.0,1050
89Z,,,1113.0,1050
90X,114.3,,1114.0,1177
90Y,114.35,,1114.0,1051
90Z,,,1114.0,1051
91X,114.4,,1115.0,1178
91Y,114.45,,1115.0,1052
91Z,,,1115.0,1052
92X,114.5,,1116.0,1179
92Y,114.55,,1116.0,1053
92Z,,,1116.0,1053
93X,114.6,,1117.0,1180
93Y,114.65,,1117.0,1054
93Z,,,1117.0,1054
94X,114.7,,1118.0,1181
94Y,114.75,,1118.0,1055
94Z,,,1118.0,1055
95X,114.8,,1119.0,1182
95Y,114.85,,1119.0,1056
95Z,,,1119.0,1056
96X,114.9,,1120.0,1183
96Y,114.95,,1120.0,1057
96Z,,,1120.0,1057
97X,115.0,,1121.0,1184
97Y,115.05,,1121.0,1058
97Z,,,1121.0,1058
98X,115.1,,1122.0,1185
98Y,115.15,,1122.0,1059
98Z,,,1122.0,1059
99X,115.2,,1123.0,1186
99Y,115.25,,1123.0,1060
99Z,,,1123.0,1060
100X,115.3,,1124.0,1187
100Y,115.35,,1124.0,1061
100Z,,,1124.0,1061
101X,115.4,,1125.0,1188
101Y,115.45,,1125.0,1062
101Z,,,1125.0,1062
102X,115.5,,1126.0,1189
102Y,115.55,,1126.0,1063
102Z,,,1126.0,1063
103X,115.6,,1127.0,1190
103Y,115.65,,1127.0,1064
103Z,,,1127.0,1064
104X,115.7,,1128.0,1191
104Y,115.75,,1128.0,1065
104Z,,,1128.0,1065
105X,115.8,,1129.0,1192
105Y,115.85,,1129.0,1066
105Z,,,1129.0,1066
106X,115.9,,1130.0,1193
106Y,115.95,,1130.0,1067
106Z,,,1130.0,1067
107X,116.0,,1131.0,1194
107Y,116.05,,1131.0,1068
107Z,,,1131.0,1068
108X,116.1,,1132.0,1195
108Y,116.15,,1132.0,1069
108Z,,,1132.0,1069
109X,116.2,,1133.0,1196
