N_Bloco,Uplink_Inicial,Uplink_Final,Downlink_Inicial,Downlink_Final,Largura_Bloco(MHz),Offset,Faixa,Tecnologia
1         ,451   ,451.1,461,461.1,0.10000000000002274,10,451-468   ,UHF
2         ,451.1,451.2,461.1,461.2,0.0999999999999659,10,451-468   ,UHF
3         ,451.2,451.3,461.2,461.3,0.10000000000002274,10,451-468   ,UHF
4         ,451.3,451.4,461.3,461.4,0.0999999999999659,10,451-468   ,UHF
5         ,451.4,451.5,461.4,461.5,0.10000000000002274,10,451-468   ,UHF
6         ,451.5,451.6,461.5,461.6,0.10000000000002274,10,451-468   ,UHF
7         ,451.6,451.7,461.6,461.7,0.0999999999999659,10,451-468   ,UHF
8         ,451.7,451.8,461.7,461.8,0.10000000000002274,10,451-468   ,UHF
9         ,451.8,451.9,461.8,461.9,0.0999999999999659,10,451-468   ,UHF
10        ,451.9,452   ,461.9,462,0.10000000000002274,10,451-468   ,UHF
11        ,452   ,452.1,462,462.1,0.10000000000002274,10,451-468   ,UHF
12        ,452.1,452.2,462.1,462.2,0.0999999999999659,10,451-468   ,UHF
13        ,452.2,452.3,462.2,462.3,0.10000000000002274,10,451-468   ,UHF
14        ,452.3,452.4,462.3,462.4,0.0999999999999659,10,451-468   ,UHF
15        ,452.4,452.5,462.4,462.5,0.10000000000002274,10,451-468   ,UHF
16        ,452.5,452.6,462.5,462.6,0.10000000000002274,10,451-468   ,UHF
17        ,452.6,452.7,462.6,462.7,0.0999999999999659,10,451-468   ,UHF
18        ,452.7,452.8,462.7,462.8,0.10000000000002274,10,451-468   ,UHF
19        ,452.8,452.9,462.8,462.9,0.0999999999999659,10,451-468   ,UHF
20        ,452.9,453   ,462.9,463,0.10000000000002274,10,451-468   ,UHF
21        ,453   ,453.1,463,463.1,0.10000000000002274,10,451-468   ,UHF
22        ,453.1,453.2,463.1,463.2,0.0999999999999659,10,451-468   ,UHF
23        ,453.2,453.3,463.2,463.3,0.10000000000002274,10,451-468   ,UHF
